Species,Age,Wing,Weight,Culmen,Hallux,Tail,StandardTail,KeelFat,Crop
RT,I,'\'(377.5-394.5]\'','\'(852.5-1017]\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(-inf-196.5]\'','\'(-inf-172.5]\'','\'(12.225-24.35]\'','\'(14.55-27.75]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1017-1167]\'','\'(24.35-26.25]\'','\'(31.85-inf)\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(30.15-31.85]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(196.5-359.5]\'','\'(172.5-852.5]\'','\'(-inf-12.225]\'','\'(14.55-27.75]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(31.85-inf)\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(394.5-inf)\'','\'(1017-1167]\'','\'(26.25-27.85]\'','\'(30.15-31.85]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(359.5-377.5]\'','\'(172.5-852.5]\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(394.5-inf)\'','\'(1017-1167]\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(377.5-394.5]\'','\'(1167-inf)\'','\'(24.35-26.25]\'','\'(31.85-inf)\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(26.25-27.85]\'','\'(30.15-31.85]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(359.5-377.5]\'','\'(1017-1167]\'','\'(24.35-26.25]\'','\'(14.55-27.75]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(377.5-394.5]\'','\'(1167-inf)\'','\'(26.25-27.85]\'','\'(27.75-30.15]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(377.5-394.5]\'','\'(1167-inf)\'','\'(24.35-26.25]\'','\'(30.15-31.85]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(30.15-31.85]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(-inf-196.5]\'','\'(-inf-172.5]\'','\'(-inf-12.225]\'','\'(31.85-inf)\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(-inf-196.5]\'','\'(-inf-172.5]\'','\'(-inf-12.225]\'','\'(-inf-14.55]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
CH,I,'\'(196.5-359.5]\'','\'(172.5-852.5]\'','\'(12.225-24.35]\'','\'(14.55-27.75]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(1017-1167]\'','\'(24.35-26.25]\'','\'(30.15-31.85]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(1017-1167]\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(1017-1167]\'','\'(26.25-27.85]\'','\'(30.15-31.85]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(852.5-1017]\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(1017-1167]\'','\'(27.85-inf)\'','\'(27.75-30.15]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(1017-1167]\'','\'(24.35-26.25]\'','\'(30.15-31.85]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1017-1167]\'','\'(26.25-27.85]\'','\'(30.15-31.85]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(30.15-31.85]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(852.5-1017]\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1017-1167]\'','\'(26.25-27.85]\'','\'(27.75-30.15]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(196.5-359.5]\'','\'(-inf-172.5]\'','\'(12.225-24.35]\'','\'(-inf-14.55]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(1167-inf)\'','\'(26.25-27.85]\'','\'(30.15-31.85]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(359.5-377.5]\'','\'(852.5-1017]\'','\'(24.35-26.25]\'','\'(14.55-27.75]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
CH,I,'\'(196.5-359.5]\'','\'(172.5-852.5]\'','\'(12.225-24.35]\'','\'(14.55-27.75]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
CH,A,'\'(196.5-359.5]\'','\'(172.5-852.5]\'','\'(12.225-24.35]\'','\'(14.55-27.75]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(30.15-31.85]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(196.5-359.5]\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(31.85-inf)\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(31.85-inf)\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(-inf-196.5]\'','\'(1167-inf)\'','\'(12.225-24.35]\'','\'(14.55-27.75]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(172.5-852.5]\'','\'(24.35-26.25]\'','\'(14.55-27.75]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(26.25-27.85]\'','\'(31.85-inf)\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(196.5-359.5]\'','\'(172.5-852.5]\'','\'(24.35-26.25]\'','\'(14.55-27.75]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(-inf-196.5]\'','\'(-inf-172.5]\'','\'(-inf-12.225]\'','\'(-inf-14.55]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(26.25-27.85]\'','\'(31.85-inf)\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
CH,I,'\'(196.5-359.5]\'','\'(172.5-852.5]\'','\'(12.225-24.35]\'','\'(14.55-27.75]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,A,'\'(-inf-196.5]\'','\'(-inf-172.5]\'','\'(-inf-12.225]\'','\'(-inf-14.55]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,A,'\'(-inf-196.5]\'','\'(172.5-852.5]\'','\'(-inf-12.225]\'','\'(-inf-14.55]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(377.5-394.5]\'','\'(1017-1167]\'','\'(27.85-inf)\'','\'(27.75-30.15]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(377.5-394.5]\'','\'(1017-1167]\'','\'(26.25-27.85]\'','\'(27.75-30.15]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(377.5-394.5]\'','\'(1017-1167]\'','\'(26.25-27.85]\'','\'(30.15-31.85]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(31.85-inf)\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(30.15-31.85]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(30.15-31.85]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(26.25-27.85]\'','\'(31.85-inf)\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(359.5-377.5]\'','\'(1017-1167]\'','\'(26.25-27.85]\'','\'(30.15-31.85]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(359.5-377.5]\'','\'(852.5-1017]\'','\'(24.35-26.25]\'','\'(30.15-31.85]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(31.85-inf)\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(26.25-27.85]\'','\'(31.85-inf)\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(196.5-359.5]\'','\'(172.5-852.5]\'','\'(12.225-24.35]\'','\'(-inf-14.55]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(196.5-359.5]\'','\'(-inf-172.5]\'','\'(12.225-24.35]\'','\'(14.55-27.75]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(-inf-196.5]\'','\'(-inf-172.5]\'','\'(-inf-12.225]\'','\'(-inf-14.55]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
CH,A,'\'(196.5-359.5]\'','\'(172.5-852.5]\'','\'(12.225-24.35]\'','\'(14.55-27.75]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(359.5-377.5]\'','\'(1017-1167]\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(1017-1167]\'','\'(12.225-24.35]\'','\'(30.15-31.85]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(31.85-inf)\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(1017-1167]\'','\'(26.25-27.85]\'','\'(31.85-inf)\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(26.25-27.85]\'','\'(31.85-inf)\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(852.5-1017]\'','\'(26.25-27.85]\'','\'(27.75-30.15]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(852.5-1017]\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,A,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(30.15-31.85]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(31.85-inf)\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(31.85-inf)\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(31.85-inf)\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,A,'\'(196.5-359.5]\'','\'(-inf-172.5]\'','\'(12.225-24.35]\'','\'(14.55-27.75]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(196.5-359.5]\'','\'(-inf-172.5]\'','\'(-inf-12.225]\'','\'(14.55-27.75]\'','\'(155.5-207.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(-inf-196.5]\'','\'(-inf-172.5]\'','\'(-inf-12.225]\'','\'(-inf-14.55]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(-inf-196.5]\'','\'(-inf-172.5]\'','\'(-inf-12.225]\'','\'(-inf-14.55]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1017-1167]\'','\'(26.25-27.85]\'','\'(27.75-30.15]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,A,'\'(196.5-359.5]\'','\'(172.5-852.5]\'','\'(-inf-12.225]\'','\'(31.85-inf)\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(196.5-359.5]\'','\'(-inf-172.5]\'','\'(12.225-24.35]\'','\'(-inf-14.55]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(172.5-852.5]\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(852.5-1017]\'','\'(27.85-inf)\'','\'(27.75-30.15]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(-inf-196.5]\'','\'(-inf-172.5]\'','\'(-inf-12.225]\'','\'(-inf-14.55]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
CH,I,'\'(196.5-359.5]\'','\'(172.5-852.5]\'','\'(12.225-24.35]\'','\'(14.55-27.75]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(1167-inf)\'','\'(27.85-inf)\'','\'(31.85-inf)\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(852.5-1017]\'','\'(26.25-27.85]\'','\'(30.15-31.85]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
CH,I,'\'(196.5-359.5]\'','\'(172.5-852.5]\'','\'(12.225-24.35]\'','\'(14.55-27.75]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
SS,I,'\'(-inf-196.5]\'','\'(-inf-172.5]\'','\'(-inf-12.225]\'','\'(-inf-14.55]\'','\'(-inf-155.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(852.5-1017]\'','\'(24.35-26.25]\'','\'(30.15-31.85]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(852.5-1017]\'','\'(26.25-27.85]\'','\'(27.75-30.15]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(852.5-1017]\'','\'(26.25-27.85]\'','\'(27.75-30.15]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(852.5-1017]\'','\'(24.35-26.25]\'','\'(27.75-30.15]\'','\'(207.5-218.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(394.5-inf)\'','\'(852.5-1017]\'','\'(26.25-27.85]\'','\'(27.75-30.15]\'','\'(228.5-inf)\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(377.5-394.5]\'','\'(852.5-1017]\'','\'(12.225-24.35]\'','\'(27.75-30.15]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
RT,I,'\'(359.5-377.5]\'','\'(852.5-1017]\'','\'(24.35-26.25]\'','\'(30.15-31.85]\'','\'(218.5-228.5]\'','\'(199.091-199.591]\'','\'(2.092-2.342]\'','\'(0.18-0.2425]\''
